index,time,city,temperature,rainfall,humidity
3,01:00,Delhi,30,23,20
6,02:30,Delhi,32,50,40
11,05:00,Delhi,27,22,11
17,08:00,Delhi,22,80,96
22,10:30,Delhi,27,56,20
29,14:00,Delhi,31,44,30
34,16:30,Delhi,32,21,30
38,18:30,Delhi,29,24,25
42,20:30,Delhi,26,66,20
46,22:30,Delhi,30,23,20
5,02:00,Indore,19,20,21
10,04:30,Indore,18,20,31
13,06:00,Indore,20,28,21
19,09:00,Indore,20,32,31
24,11:30,Indore,21,36,30
27,13:00,Indore,25,51,20
31,15:00,Indore,28,81,15
36,17:30,Indore,26,22,15
41,20:00,Indore,23,33,15
48,23:30,Indore,19,20,21
4,01:30,Mumbai,25,31,31
9,04:00,Mumbai,20,50,65
14,06:30,Mumbai,21,32,38
20,09:30,Mumbai,21,50,55
25,12:00,Mumbai,23,30,35
30,14:30,Mumbai,21,29,35
35,17:00,Mumbai,26,22,30
40,19:30,Mumbai,19,32,40
45,22:00,Mumbai,29,20,25
50,23:50,Mumbai,21,40,50
1,00:00,Prayagraj,26,50,70
7,03:00,Prayagraj,32,40,60
12,05:30,Prayagraj,26,28,38
16,07:30,Prayagraj,30,90,95
21,10:00,Prayagraj,27,87,15
26,12:30,Prayagraj,29,41,15
32,15:30,Prayagraj,31,91,20
39,19:00,Prayagraj,28,25,30
43,21:00,Prayagraj,27,55,25
47,23:00,Prayagraj,28,27,36
2,00:30,Varanasi,22,23,30
8,03:30,Varanasi,21,30,45
15,07:00,Varanasi,21,45,55
18,08:30,Varanasi,25,25,21
23,11:00,Varanasi,22,34,25
28,13:30,Varanasi,28,32,25
33,16:00,Varanasi,29,20,25
37,18:00,Varanasi,25,23,20
44,21:30,Varanasi,22,23,30
49,23:40,Varanasi,31,55,44
